,"last_name, first_name",player_id,player_age,pa,hit,single,double,triple,home_run,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,babip,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_foul,b_foul_tip,b_gnd_into_dp,b_hit_by_pitch,b_intent_walk,b_pinch_hit,b_pinch_run,b_sac_bunt,b_sac_fly,b_swinging_strike,r_run,xba,xslg,xwoba,xobp,xiso,xbadiff,xslgdiff,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed
15,"Flores, Wilmer",527038,32.0,386.3333333333333,86.66666666666667,57.666666666666664,14.666666666666666,0.0,14.333333333333334,15.5,8.200000000000001,0.24366666666666667,0.40199999999999997,0.313,0.15833333333333335,0.25766666666666665,52.333333333333336,0.0,0.3333333333333333,306.0,10.333333333333334,10.666666666666666,5.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,0.0,3.6666666666666665,111.33333333333333,38.0,0.23466666666666666,0.3686666666666667,0.29933333333333334,0.30833333333333335,0.134,0.009000000000000001,0.03333333333333333,85.26666666666667,36.13333333333333,6.166666666666667,5.233333333333333,24.333333333333332,35.300000000000004,23.900000000000002,4.733333333333333,29.0,96.31078490700001,62.166666666666664,11.066666666666668,28.666666666666668,28.933333333333337,71.06666666666666,50.93333333333334,65.63333333333334,8.200000000000001,88.93333333333334,49.06666666666666,42.833333333333336,16.833333333333332,45.166666666666664,41.199999999999996,34.06666666666667,24.7,63.63333333333333,33.23333333333333,27.0,25.633333333333336,14.133333333333333,24.3
16,"Ozuna, Marcell",542303,33.0,624.0,147.0,87.0,26.333333333333332,0.3333333333333333,33.333333333333336,23.866666666666664,12.1,0.26933333333333337,0.5013333333333333,0.35966666666666663,0.23199999999999998,0.31066666666666665,90.66666666666667,0.0,0.3333333333333333,448.6666666666667,23.333333333333332,14.333333333333334,3.0,1.6666666666666667,3.6666666666666665,0.0,0.0,4.333333333333333,294.6666666666667,80.33333333333333,0.26899999999999996,0.5286666666666666,0.38199999999999995,0.36166666666666664,0.2603333333333333,0.00033333333333333365,-0.02733333333333333,91.26666666666667,36.833333333333336,14.5,9.200000000000001,23.3,22.0,27.400000000000002,3.1999999999999997,49.0,102.639785862,66.73333333333333,19.533333333333335,26.166666666666668,46.36666666666667,53.63333333333333,53.699999999999996,79.13333333333333,6.566666666666666,80.46666666666667,46.300000000000004,41.56666666666666,27.96666666666667,44.86666666666667,44.06666666666666,32.4,23.53333333333333,58.96666666666667,39.4,32.199999999999996,23.833333333333332,4.633333333333334,25.8
17,"Higashioka, Kyle",543309,34.0,283.3333333333333,61.333333333333336,35.666666666666664,12.333333333333334,0.6666666666666666,12.666666666666666,26.2,5.733333333333333,0.2323333333333333,0.4306666666666667,0.276,0.19833333333333333,0.26933333333333337,42.0,0.3333333333333333,1.6666666666666667,196.0,6.666666666666667,4.333333333333333,0.6666666666666666,0.0,14.666666666666666,0.0,0.6666666666666666,2.0,114.33333333333333,28.666666666666668,0.2333333333333333,0.41966666666666663,0.30066666666666664,0.278,0.18633333333333332,-0.001,0.011000000000000001,89.13333333333333,38.63333333333333,10.166666666666666,8.466666666666667,22.766666666666666,29.23333333333333,25.099999999999998,4.1000000000000005,41.6,99.82818360666666,64.43333333333332,16.03333333333333,28.866666666666664,46.800000000000004,53.199999999999996,49.1,71.96666666666667,7.8999999999999995,83.96666666666665,50.9,40.63333333333333,25.366666666666664,46.96666666666667,50.36666666666667,31.133333333333336,18.5,61.46666666666667,35.166666666666664,30.8,24.96666666666667,9.1,25.366666666666664
18,"McCann, James",543510,34.0,198.66666666666666,42.666666666666664,26.666666666666668,9.666666666666666,0.0,6.333333333333333,24.433333333333334,5.133333333333333,0.23866666666666667,0.39866666666666667,0.2906666666666667,0.16,0.287,24.666666666666668,0.3333333333333333,1.3333333333333333,134.66666666666666,4.666666666666667,3.6666666666666665,3.6666666666666665,0.0,11.0,0.0,1.3333333333333333,2.3333333333333335,104.66666666666667,23.333333333333332,0.24933333333333332,0.41933333333333334,0.3153333333333333,0.3033333333333333,0.17033333333333334,-0.010666666666666666,-0.020666666666666667,89.83333333333333,35.56666666666666,7.766666666666666,8.266666666666667,26.400000000000002,22.933333333333334,30.066666666666666,3.966666666666667,44.6,100.59128518233332,69.06666666666666,18.866666666666664,34.9,51.06666666666666,48.93333333333334,50.06666666666666,74.2,7.966666666666668,81.26666666666667,49.93333333333334,42.46666666666667,29.733333333333334,52.0,33.36666666666667,40.800000000000004,25.599999999999998,62.5,42.6,28.46666666666667,24.03333333333333,4.7,25.866666666666664
19,"Semien, Marcus",543760,33.0,668.3333333333334,149.0,96.66666666666667,27.666666666666668,2.3333333333333335,22.333333333333332,15.533333333333331,9.299999999999999,0.24766666666666667,0.41100000000000003,0.3203333333333333,0.16333333333333333,0.264,78.66666666666667,2.3333333333333335,11.0,472.6666666666667,17.0,7.333333333333333,4.333333333333333,1.0,1.3333333333333333,0.0,0.0,5.0,221.0,95.0,0.25266666666666665,0.403,0.3213333333333333,0.32666666666666666,0.15066666666666664,-0.005,0.007999999999999998,88.03333333333335,35.43333333333333,6.6000000000000005,6.666666666666667,24.366666666666664,33.63333333333333,24.866666666666664,3.533333333333333,35.733333333333334,98.05818890566667,74.66666666666667,12.466666666666667,23.366666666666664,44.6,55.4,50.63333333333333,89.43333333333332,7.766666666666667,87.53333333333335,49.36666666666667,42.63333333333333,20.266666666666666,48.699999999999996,45.833333333333336,34.46666666666667,19.733333333333334,60.96666666666667,36.03333333333333,32.93333333333333,23.03333333333333,8.033333333333333,28.566666666666666
20,"Springer, George",543807,34.0,627.6666666666666,144.0,94.66666666666667,23.666666666666668,1.6666666666666667,24.0,18.633333333333333,10.133333333333335,0.26233333333333336,0.44533333333333336,0.34299999999999997,0.18299999999999997,0.292,70.66666666666667,2.3333333333333335,18.0,428.3333333333333,26.666666666666668,16.666666666666668,6.333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,3.0,250.0,89.0,0.26733333333333337,0.46199999999999997,0.35233333333333333,0.34933333333333333,0.19499999999999998,-0.004999999999999999,-0.016666666666666666,88.60000000000001,34.2,11.033333333333333,5.766666666666667,23.566666666666666,22.900000000000002,30.7,5.633333333333333,41.63333333333333,100.89388902366666,72.43333333333334,18.166666666666668,22.333333333333332,46.56666666666666,53.43333333333334,48.4,87.16666666666667,7.633333333333333,81.73333333333333,51.6,43.333333333333336,24.566666666666666,48.199999999999996,38.13333333333333,38.46666666666667,23.366666666666664,62.133333333333326,44.166666666666664,25.5,23.400000000000002,7.033333333333334,27.96666666666667
21,"Vázquez, Christian",543877,33.0,294.6666666666667,58.0,42.666666666666664,10.0,0.0,5.333333333333333,20.033333333333335,6.3,0.211,0.30633333333333335,0.26633333333333337,0.09533333333333334,0.25,24.333333333333332,0.6666666666666666,1.6666666666666667,197.66666666666666,10.666666666666666,8.333333333333334,2.0,0.3333333333333333,8.0,0.0,2.0,2.3333333333333335,101.66666666666667,25.666666666666668,0.22233333333333336,0.3223333333333333,0.26666666666666666,0.2776666666666667,0.10066666666666667,-0.011333333333333334,-0.016,87.03333333333335,35.93333333333334,3.6,6.366666666666667,25.766666666666666,29.666666666666668,29.8,4.533333333333333,32.266666666666666,96.92248958699999,64.66666666666667,15.5,30.933333333333334,33.5,66.5,50.23333333333333,75.73333333333333,7.1000000000000005,84.5,49.76666666666667,43.53333333333333,21.3,47.70000000000001,35.333333333333336,40.1,24.566666666666666,63.0,40.43333333333333,26.566666666666666,25.366666666666664,7.666666666666667,24.833333333333332
22,"Vargas, Ildemaro",545121,32.0,236.66666666666666,54.666666666666664,40.666666666666664,10.333333333333334,1.0,2.6666666666666665,9.866666666666667,4.866666666666666,0.256,0.35400000000000004,0.297,0.09800000000000002,0.27133333333333337,26.666666666666668,1.6666666666666667,3.3333333333333335,134.66666666666666,4.333333333333333,7.333333333333333,1.6666666666666667,0.0,1.0,2.0,3.0,2.3333333333333335,45.666666666666664,21.666666666666668,0.261,0.3546666666666667,0.2896666666666667,0.30233333333333334,0.09400000000000001,-0.005,-0.0006666666666666666,87.76666666666667,27.333333333333332,2.5,3.033333333333333,23.8,20.733333333333334,43.26666666666667,6.266666666666667,33.5,97.92357500600001,62.03333333333333,8.933333333333334,32.199999999999996,27.133333333333336,72.86666666666666,48.26666666666667,69.39999999999999,7.933333333333333,91.06666666666666,51.73333333333333,41.73333333333333,14.866666666666665,47.63333333333333,43.1,38.46666666666667,18.433333333333334,61.26666666666667,57.03333333333333,18.966666666666665,19.766666666666666,4.2,27.03333333333333
23,"Grichuk, Randal",545341,32.0,347.6666666666667,84.0,47.0,23.0,1.6666666666666667,12.333333333333334,19.233333333333334,6.3999999999999995,0.262,0.4626666666666667,0.314,0.20066666666666666,0.2936666666666667,39.0,1.0,0.6666666666666666,233.33333333333334,10.333333333333334,7.333333333333333,3.3333333333333335,1.0,18.666666666666668,0.3333333333333333,0.0,2.3333333333333335,122.66666666666667,46.666666666666664,0.268,0.454,0.3363333333333333,0.322,0.18566666666666665,-0.006000000000000001,0.008666666666666668,90.86666666666667,34.300000000000004,9.933333333333332,7.166666666666667,23.53333333333333,29.066666666666666,27.03333333333333,3.3000000000000003,47.46666666666667,102.55292373066668,66.63333333333333,11.766666666666666,31.633333333333336,43.333333333333336,56.666666666666664,51.13333333333333,73.2,7.866666666666667,88.23333333333333,48.86666666666667,41.4,22.3,48.699999999999996,44.63333333333333,34.1,21.266666666666666,60.800000000000004,38.46666666666667,26.833333333333332,24.2,10.5,27.333333333333332
24,"Trout, Mike",545361,32.0,348.0,70.33333333333333,41.333333333333336,9.666666666666666,1.3333333333333333,18.0,27.366666666666664,13.566666666666668,0.23833333333333337,0.49,0.35033333333333333,0.25166666666666665,0.2796666666666667,40.666666666666664,0.3333333333333333,3.3333333333333335,260.6666666666667,22.333333333333332,3.6666666666666665,4.666666666666667,4.333333333333333,1.3333333333333333,0.0,0.0,2.6666666666666665,150.33333333333334,48.0,0.26166666666666666,0.5266666666666667,0.38433333333333336,0.37233333333333335,0.26533333333333337,-0.02333333333333333,-0.03666666666666667,90.66666666666667,40.96666666666667,16.3,6.8,24.666666666666668,28.46666666666667,18.23333333333333,5.3999999999999995,47.56666666666666,103.15151139266668,63.1,20.099999999999998,19.666666666666668,47.76666666666667,52.23333333333333,48.800000000000004,75.39999999999999,7.3999999999999995,79.89999999999999,51.199999999999996,43.26666666666667,26.566666666666666,41.9,40.13333333333333,29.96666666666667,29.933333333333334,54.0,30.7,33.766666666666666,25.866666666666664,9.700000000000001,28.766666666666666
